
api-1  | 2026-06-06 22:50:51,673 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodapple "HTTP/1.1 201 Created"
api-1  | 2026-06-06 22:50:51,678 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodroku "HTTP/1.1 201 Created"
api-1  | 2026-06-06 22:50:51,681 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodchrome "HTTP/1.1 201 Created"
api-1  | 2026-06-06 22:50:51,682 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodfire "HTTP/1.1 201 Created"
db-1   | 2026-06-06 10:15:25.660 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:15:28.183 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.426 s, sync=0.032 s, total=2.523 s; sync files=9, longest=0.024 s, average=0.004 s; distance=195 kB, estimate=202 kB; lsn=0/346E7E8, redo lsn=0/3464BA0
db-1   | 2026-06-06 10:20:25.283 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:20:28.871 UTC [55] LOG:  checkpoint complete: wrote 36 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.520 s, sync=0.012 s, total=3.588 s; sync files=9, longest=0.011 s, average=0.002 s; distance=236 kB, estimate=236 kB; lsn=0/34A5280, redo lsn=0/349FF18
db-1   | 2026-06-06 10:25:25.971 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:25:28.393 UTC [55] LOG:  checkpoint complete: wrote 24 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.338 s, sync=0.021 s, total=2.423 s; sync files=9, longest=0.020 s, average=0.003 s; distance=167 kB, estimate=229 kB; lsn=0/34C9DA8, redo lsn=0/34C9D70
db-1   | 2026-06-06 10:30:25.493 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:30:28.116 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.531 s, sync=0.034 s, total=2.623 s; sync files=9, longest=0.031 s, average=0.004 s; distance=192 kB, estimate=226 kB; lsn=0/34F9DC0, redo lsn=0/34F9D88
db-1   | 2026-06-06 10:35:25.216 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:35:28.189 UTC [55] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.833 s, sync=0.067 s, total=2.974 s; sync files=9, longest=0.055 s, average=0.008 s; distance=187 kB, estimate=222 kB; lsn=0/3528B40, redo lsn=0/3528B08
db-1   | 2026-06-06 10:40:25.231 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:40:27.860 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.536 s, sync=0.036 s, total=2.629 s; sync files=9, longest=0.028 s, average=0.004 s; distance=174 kB, estimate=217 kB; lsn=0/355C958, redo lsn=0/3554690
db-1   | 2026-06-06 10:45:25.960 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:45:28.477 UTC [55] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.421 s, sync=0.031 s, total=2.517 s; sync files=9, longest=0.030 s, average=0.004 s; distance=176 kB, estimate=213 kB; lsn=0/3580A08, redo lsn=0/35809D0
db-1   | 2026-06-06 10:50:25.577 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 10:50:39.925 UTC [55] LOG:  checkpoint complete: wrote 143 buffers (0.9%); 0 WAL file(s) added, 0 removed, 0 recycled; write=14.257 s, sync=0.027 s, total=14.349 s; sync files=10, longest=0.027 s, average=0.003 s; distance=213 kB, estimate=213 kB; lsn=0/35C33C8, redo lsn=0/35B5F00
db-1   | 2026-06-06 10:55:26.025 UTC [55] LOG:  checkpoint starting: time
